tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037117302,136,1603,8.5,District 3,Los Angeles - Northridge,SPA 2 - San Fernando,7470,22083316.9804688,26163.4458001691
06037117303,7,1182,0.6,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7471,19439671.8300781,18085.4491752125
06037117404,29,1403,2.1,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7472,19003941.5058594,17700.6501587909
06037117405,69,826,8.4,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7473,2175619.73242188,5942.66415755958
06037117408,49,746,6.6,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7474,4052405.31640625,8246.91622628933
06037117510,95,1062,8.9,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7475,3630267.36230469,8174.74177678373
06037127520,243,1467,16.6,District 3,Los Angeles - Van Nuys,SPA 2 - San Fernando,7476,3908348.79003906,7974.71713669489
06037117520,96,1050,9.1,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7477,3460512.1015625,7761.73009304352
06037117530,309,1722,17.9,District 3,Los Angeles - North Hills,SPA 2 - San Fernando,7478,6033893.43359375,9945.46260076696
06037119001,52,1031,5,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7479,11577313.0166016,13962.1321034393
06037119003,16,826,1.9,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7480,9152043.43261719,12877.0119564235
06037119004,63,681,9.3,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7481,9171707.16894531,12938.0203471215
06037119201,110,869,12.7,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7482,10255257.7890625,12946.5449136098
06037119202,8,1136,0.7,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7483,10447385.4492188,16853.7463033923
06037119310,274,1244,22,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7484,4722462.24414062,10015.2494252206
06037119320,102,1300,7.8,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7485,5316856.91015625,9350.18475167637
06037119340,126,1008,12.5,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7486,1314702.02246094,4632.2786816104
06037190101,256,1200,21.3,District 3,Los Angeles - Hollywood,SPA 4 - Metro,7487,2408287.25488281,6809.25485633835
06037119341,125,871,14.4,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7488,3525028.25683594,8359.24792257374
06037119342,33,783,4.2,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7489,2358150.67871094,6104.94342689664
06037119400,21,1102,1.9,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7490,12059419.3027344,14162.6437061602
06037119700,49,1313,3.7,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7491,14175400.0488281,20291.4578239369
06037119801,0,623,0,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7492,6592586.7265625,11988.3605192723
06037119802,61,799,7.6,District 3,Los Angeles - Arleta,SPA 2 - San Fernando,7493,6776188.16894531,12322.1478735107
06037119900,27,1246,2.2,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7494,11327616.8232422,14582.8676229843
06037120010,42,758,5.5,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7495,6102212.85742188,10220.1577461973
06037120020,59,1271,4.6,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7496,5732451.13769531,12179.8855613555
06037120030,92,700,13.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7497,4042047.8671875,8097.73016376082
06037120103,177,840,21.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7498,1531762.02832031,5627.79127505732
06037120104,124,819,15.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7499,4855892.52539062,10161.9713182063
06037120105,162,850,19.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7500,5888904.734375,15689.314364314
06037120106,104,1315,7.9,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7501,2207511.56640625,6070.97086096416
06037120107,113,1115,10.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7502,2219500.23632812,6074.74853419652
06037120108,86,1418,6.1,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7503,4153196.15625,8437.98289394272
06037120300,130,1530,8.5,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7504,18625291.3535156,18461.2612622082
06037120400,236,2101,11.2,District 3,Los Angeles - Panorama City,SPA 2 - San Fernando,7505,11342990.4765625,17252.7318832221
06037121010,78,1181,6.6,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7506,21938724.671875,19439.9494676312
06037121020,111,1039,10.7,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7507,8862824.78417969,13123.5941471133
06037121101,49,1014,4.8,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7508,5017307.97949219,10718.7901865933
06037121102,50,756,6.6,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7509,81202249.6660156,37430.5187178532
06037121210,72,812,8.9,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7510,21747744.5908203,18363.6100051393
06037121221,14,516,2.7,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7511,5368645.64160156,11031.146326153
06037121222,127,1236,10.3,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7512,14360591.9746094,18205.7288325714
06037121600,88,781,11.3,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7513,12226265.6533203,16319.3464513318
06037121801,103,1196,8.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7514,5227906.45019531,10560.2130508561
06037121802,104,714,14.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7515,10313355.2363281,14870.6940835396
06037121900,33,1052,3.1,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7516,18151567.5419922,20085.6741084267
06037122000,86,1576,5.5,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7517,35127759.9345703,30433.9930769397
06037122120,77,1212,6.4,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7518,7747526.69824219,13223.7253331005
06037122121,58,794,7.3,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7519,4433690.19335938,11866.0072105158
06037122122,102,709,14.4,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7520,11169110.2080078,15319.4321170358
06037122200,34,837,4.1,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7521,18360451.8066406,19414.8134591679
06037122410,101,1223,8.3,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7522,7614170.00878906,11116.6767570807
06037122420,61,1285,4.7,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7523,9284627.34765625,12386.8026293559
06037123010,36,976,3.7,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7524,10934072.2714844,13636.3926211672
06037123020,48,694,6.9,District 3,Los Angeles - Sun Valley,SPA 2 - San Fernando,7525,6044749.9375,9824.42748679698
06037123103,63,1603,3.9,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7526,9700340.046875,13343.6271318178
06037123104,154,1626,9.5,District 5,Los Angeles - North Hollywood,SPA 2 - San Fernando,7527,8398918.35742188,11502.4211608533
06037123203,79,1016,7.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7528,6324973.65136719,12755.8725288864
06037123204,85,1044,8.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7529,3489441.03222656,7926.03436282145
06037123205,22,769,2.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7530,8155803.26855469,11532.5866906348
06037123206,88,816,10.8,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7531,6488814.03417969,10269.8069203341
06037123301,116,1692,6.9,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7532,14044397.7158203,17672.2348690356
06037123303,110,874,12.6,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7533,6799869.65917969,13016.2516740511
06037123304,381,1802,21.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7534,9447370.32324219,13402.3495508187
06037123410,209,1220,17.1,District 3,Los Angeles - North Hollywood,SPA 2 - San Fernando,7535,5327906.84667969,9495.32660654228
